Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
GUMO,Guadalupe Mountains National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,Pronghorn,Antilocapra americana americana,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Artiodactyla,Bovidae,95069,180719,Active,Ammotragus lervia,Barbary Sheep,,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,Elk,"Cervus elaphus nelsoni, Cervus canadensis, Cervus elaphus merriami",Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,Odocoileus hemionus crooki,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,White-tailed Deer,Odocoileus virginianus texanus,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Artiodactyla,Tayassuidae,264631,552761,Active,Pecari tajacu,Collared Peccary,Tayassu tajacu,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,Canis latrans texensis,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Common Gray Fox,Urocyon cinereoargenteus scottii,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Canidae,93349,180606,Active,Vulpes macrotis,Kit Fox,Vulpes macrotis neomexicana,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,"Felis rufus, Lynx rufus texensis, Felis rufus baileyi",Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,"Felis concolor azteca, Felis concolor",Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Mephitidae,93305,180567,Active,Conepatus leuconotus,White-backed Hog-nosed Skunk,"Conepatus mesoleucus, Conepatus mesoleucus mearnsi",Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,Mephitis mephitis varians,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,Western Spotted Skunk,"Spilogale gracilis leucoparia, Spilogale putorius",Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,Mustela frenata neomexicana,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,American Badger,Taxidea taxus berlandieri,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus flavus,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Northern Raccoon,Procyon lotor mexicanus,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,American Black Bear,Ursus americanus amblyceps,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Chiroptera,Molossidae,89608,180086,Active,Nyctinomops macrotis,Big Free-tailed Bat,Tadarida macrotis,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Brazilian Free-tailed Bat,Tadarida brasiliensis mexicana,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,Antrozous pallidus pallidus,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's Big-eared Bat,"Plecotus townsendii pallescens, Plecotus townsendii",Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,Eptesicus fuscus pallidus,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,Lasiurus cinereus cinereus,Present
GUMO,Guadalupe Mountains National Park,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California Myotis,Myotis californicus californicus,Present
