Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
ISRO,Isle Royale National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Present
ISRO,Isle Royale National Park,Mammal,1,Carnivora,Canidae,93337,180596,Active,Canis lupus,Gray wolf,,Present
ISRO,Isle Royale National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red fox,,Present
ISRO,Isle Royale National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,Canada lynx,,Probably Present
ISRO,Isle Royale National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,River Otter,Lutra canadensis,Present
ISRO,Isle Royale National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,Marten,,Present
ISRO,Isle Royale National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,"Ermine, Short-tailed weasel",,Present
ISRO,Isle Royale National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Present
ISRO,Isle Royale National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big brown bat,,Present
ISRO,Isle Royale National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired bat,,Present
ISRO,Isle Royale National Park,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,"Eastern red bat, Red bat",,Present
ISRO,Isle Royale National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary bat,,Present
ISRO,Isle Royale National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little brown bat, Little brown myotis",,Present
ISRO,Isle Royale National Park,Mammal,1,Chiroptera,Vespertilionidae,88722,180000,Active,Myotis septentrionalis,"Northern long-eared bat, Northern myotis",Myotis keenii,Present
ISRO,Isle Royale National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,Snowshoe hare,,Present
ISRO,Isle Royale National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,Beaver,,Present
ISRO,Isle Royale National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,Muskrat,,Present
ISRO,Isle Royale National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Deer mouse,,Present
ISRO,Isle Royale National Park,Mammal,1,Rodentia,Sciuridae,90667,180207,Active,Tamias striatus,Eastern chipmunk,,Probably Present
ISRO,Isle Royale National Park,Mammal,1,Rodentia,Sciuridae,155038,-501854,Inactive,Tamiasciurus hudsonicus regalis,Isle Royale red squirrel,,Present
ISRO,Isle Royale National Park,Bird,2,Accipitriformes,Accipitridae,79517,175309,Active,Accipiter cooperii,Cooper's hawk,,Present
ISRO,Isle Royale National Park,Bird,2,Accipitriformes,Accipitridae,79508,175300,Active,Accipiter gentilis,Northern goshawk,,Present
