Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,Pronghorn,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,Bighorn Sheep,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,American Elk; Wapiti,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Gray Fox,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Felidae,93327,180587,Active,Felis concolor,Mountain Lion,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,Spotted Skunk,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine; Short-tailed Weasel,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,Badger,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Raccoon,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,Black Bear,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Brazilian free-tailed bat,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired bat,,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,western small-footed bat,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,"Long-eared Myotis, Long-eared Bat",,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",,Probably Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,698277,-758498,Inactive,Myotis occultus,Occult Myotis,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,Snowshoe Hare,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Lagomorpha,Leporidae,89644,180118,Active,Lepus townsendii,White-tailed Jack Rabbit,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,Desert Cottontail,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,Nuttall's Cottontail,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Lagomorpha,Ochotonidae,89634,180109,Active,Ochotona princeps,Pika,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,Beaver,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,"Gapper's Red-backed Vole, Southern Red-backed Vole",,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,Long-tailed Vole,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,Meadow Vole,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,Bushy-tailed Woodrat,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,Muskrat,,Present
GRSA,Great Sand Dunes National Park and Preserve,Mammal,1,Rodentia,Cricetidae,91780,180382,Active,Onychomys leucogaster,Nothern Grasshopper Mouse,,Present
